
2024/04/18 (12:07:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:07:51) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:07:51) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:07:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:08:24) | ===> btop++ v.1.3.2
2024/04/18 (12:08:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:08:24) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:08:24) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:08:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (12:11:49) | ===> btop++ v.1.3.2
2024/04/18 (12:11:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (12:11:49) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (12:11:49) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (12:11:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (18:51:56) | ===> btop++ v.1.3.2
2024/04/18 (18:51:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (18:51:56) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (18:51:56) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (18:51:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (18:53:28) | ===> btop++ v.1.3.2
2024/04/18 (18:53:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (18:53:28) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/18 (18:53:28) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/18 (18:53:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/19 (08:59:20) | ===> btop++ v.1.3.2
2024/04/19 (08:59:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/19 (08:59:20) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/19 (08:59:20) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/19 (08:59:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/19 (09:07:57) | ===> btop++ v.1.3.2
2024/04/19 (09:07:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/19 (09:07:57) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/19 (09:07:57) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/19 (09:07:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/19 (09:10:48) | ===> btop++ v.1.3.2
2024/04/19 (09:10:48) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/04/19 (09:11:37) | ===> btop++ v.1.3.2
2024/04/19 (09:11:37) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/04/21 (01:22:45) | ===> btop++ v.1.3.2
2024/04/21 (01:22:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (01:22:45) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/21 (01:22:45) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/21 (01:22:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (19:54:45) | ===> btop++ v.1.3.2
2024/04/21 (19:54:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (19:54:45) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/21 (19:54:45) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/21 (19:54:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (22:26:35) | ===> btop++ v.1.3.2
2024/04/21 (22:26:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (22:26:35) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/21 (22:26:35) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/21 (22:26:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/25 (13:44:26) | ===> btop++ v.1.3.2
2024/04/25 (13:44:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/25 (13:44:26) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/25 (13:44:26) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/25 (13:44:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/26 (09:34:16) | ===> btop++ v.1.3.2
2024/04/26 (09:34:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/26 (09:34:16) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/26 (09:34:16) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/26 (09:34:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (19:27:31) | ===> btop++ v.1.3.2
2024/05/06 (19:27:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (19:27:31) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/06 (19:27:31) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/06 (19:27:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/09 (12:32:24) | ===> btop++ v.1.3.2
2024/05/09 (12:32:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/09 (12:32:24) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/09 (12:32:24) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/09 (12:32:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
